wavelength,power
3379.0,0.0011805384708562876
3379.1,0.0012052801168144455
3379.2,0.0012308139132073902
3379.2999999999997,0.0012571760907404386
3379.3999999999996,0.0012844056070859628
3379.4999999999995,0.0013125445605051027
3379.5999999999995,0.001341638701297251
3379.6999999999994,0.0013717380663709389
3379.7999999999993,0.0014028977683748082
3379.899999999999,0.001435178978273616
3379.999999999999,0.0014686501492179279
3380.099999999999,0.001503388540272571
3380.199999999999,0.001539482111289078
3380.299999999999,0.0015770318751924526
3380.3999999999987,0.0016161548114663796
3380.4999999999986,0.0016569874649187714
3380.5999999999985,0.001699690377124211
3380.6999999999985,0.0017444535244637257
3380.7999999999984,0.001791502966545082
3380.8999999999983,0.0018411089420286922
3380.999999999998,0.0018935956854245612
3381.099999999998,0.0019493532780272933
3381.199999999998,0.0020088518883847766
3381.299999999998,0.002072658801877233
3381.399999999998,0.002141458684156137
3381.4999999999977,0.0022160775680633814
3381.5999999999976,0.002297511096548695
3381.6999999999975,0.0023869575929377166
3381.7999999999975,0.0024858565621329086
3381.8999999999974,0.0025959332489401705
3381.9999999999973,0.002719249889213096
3382.099999999997,0.002858264281939459
3382.199999999997,0.0030158962813855053
3382.299999999997,0.0031956027532414025
3382.399999999997,0.003401461452416964
3382.499999999997,0.0036382641576758945
3382.5999999999967,0.003911619234732508
3382.6999999999966,0.004228063590178847
3382.7999999999965,0.004595183719707732
3382.8999999999965,0.0050217452425554525
3382.9999999999964,0.005517829948240878
3383.0999999999963,0.006094978961579033
3383.199999999996,0.006766340159779345
3383.299999999996,0.007546817455919161
3383.399999999996,0.008453219003852031
3383.499999999996,0.009504400791573296
3383.599999999996,0.010721401487665146
3383.6999999999957,0.012127563806837747
3383.7999999999956,0.013748637087693083
3383.8999999999955,0.015612855254251753
3383.9999999999955,0.01775098389147657
3384.0999999999954,0.02019632983590206
3384.1999999999953,0.022984706499695626
3384.299999999995,0.026154348145582536
3384.399999999995,0.029745766546954405
3384.499999999995,0.033801543937174015
3384.599999999995,0.03836605690744582
3384.699999999995,0.043485126982994796
3384.7999999999947,0.04920559501727672
3384.8999999999946,0.055574818312296756
3384.9999999999945,0.06264009151208674
3385.0999999999945,0.07044799483160671
3385.1999999999944,0.07904367607450904
3385.2999999999943,0.08847007615608919
3385.399999999994,0.09876711147771547
3385.499999999994,0.10997083049697408
3385.599999999994,0.12211256621919277
3385.699999999994,0.13521811114472626
3385.799999999994,0.14930694653477414
3385.8999999999937,0.16439156387757684
3385.9999999999936,0.18047692344119234
3386.0999999999935,0.19756010327492318
3386.1999999999935,0.21563020275144618
3386.2999999999934,0.23466857896915785
3386.3999999999933,0.2546495140263703
3386.499999999993,0.275541439456744
3386.599999999993,0.2973088859713737
3386.699999999993,0.3199153901772099
3386.799999999993,0.34332768846277867
3386.899999999993,0.36752168416324
3386.9999999999927,0.3924909259664451
3387.0999999999926,0.41825875129877677
3387.1999999999925,0.44489595165864293
3387.2999999999925,0.47254703926397545
3387.3999999999924,0.5014703864946786
3387.4999999999923,0.532101583457285
3387.599999999992,0.5651572466924144
3387.699999999992,0.6018125250242786
3387.799999999992,0.6440199015305228
3387.899999999992,0.695115537391226
3387.999999999992,0.761053982208319
3388.0999999999917,0.8531410732934706
3388.1999999999916,0.994751628152925
3388.2999999999915,1.2402551944110054
3388.3999999999915,1.7391298324942646
3388.4999999999914,3.0166534370813816
3388.5999999999913,7.63164308089734
3388.699999999991,19.29952238628911
3388.799999999991,7.4758489784204505
3388.899999999991,2.9790987920364858
3388.999999999991,1.7261338657641434
3389.099999999991,1.2343706062993105
3389.1999999999907,0.9915607827668254
3389.2999999999906,0.8511662403969391
3389.3999999999905,0.7596969228009074
3389.4999999999905,0.6940993952991092
3389.5999999999904,0.6432035603955764
3389.6999999999903,0.6011187963641589
3389.79999999999,0.5645417053226185
3389.89999999999,0.5315377598364731
3389.99999999999,0.5009421938830886
3390.09999999999,0.47204465616713975
3390.19999999999,0.44441346311754126
3390.2999999999897,0.41779273528284155
3390.3999999999896,0.3920395720457707
3390.4999999999895,0.3670842247509211
3390.5999999999894,0.3429040207350606
3390.6999999999894,0.3195058185248755
3390.7999999999893,0.2969139432627124
3390.899999999989,0.2751617615321385
3390.999999999989,0.2542857512764684
3391.099999999989,0.23432133450265485
3391.199999999989,0.21529999012578674
3391.299999999989,0.19724731893426517
3391.3999999999887,0.18018183039287805
3391.4999999999886,0.1641142840428488
3391.5999999999885,0.14904745981314485
3391.6999999999884,0.13497625964555765
3391.7999999999884,0.12188806240788061
3391.8999999999883,0.10976326822016576
3391.999999999988,0.09857597899970327
3392.099999999988,0.08829477047427489
3392.199999999988,0.07888351789649355
3392.299999999988,0.07030224369669585
3392.399999999988,0.06250796062978257
3392.4999999999877,0.055455488771890445
3392.5999999999876,0.049098229097104866
3392.6999999999875,0.04338888035573991
3392.7999999999874,0.038280089599166886
3392.8999999999874,0.0337250299524865
3392.9999999999873,0.02967790212085
3393.099999999987,0.026094358623737858
3393.199999999987,0.0229318518838136
3393.299999999987,0.020149909058816296
3393.399999999987,0.017710337908707786
3393.499999999987,0.015577369054825253
3393.5999999999867,0.013717740737792227
3393.6999999999866,0.012100732645837775
3393.7999999999865,0.010698155597873946
3393.8999999999864,0.00948430386123534
3393.9999999999864,0.008435876698288172
3394.0999999999863,0.007531875404701152
3394.199999999986,0.006753481659164159
3394.299999999986,0.006083922481596804
3394.399999999986,0.0055083265233285186
3394.499999999986,0.005013575813877685
3394.599999999986,0.004588156486665548
3394.6999999999857,0.004222011418360692
3394.7999999999856,0.0039063971579406205
3394.8999999999855,0.003633747002822831
3394.9999999999854,0.0033975416081434943
3395.0999999999854,0.0031921880961169793
3395.1999999999853,0.0030129082675343193
3395.299999999985,0.0028556362068731227
3395.399999999985,0.0027169253145023506
3395.499999999985,0.0025938645910596517
3395.599999999985,0.0024840038362879237
3395.699999999985,0.0023852873028445357
3395.7999999999847,0.0022959952599005437
3395.8999999999846,0.0022146928666836015
3395.9999999999845,0.0021401857275313613
3396.0999999999844,0.002071481492795703
3396.1999999999844,0.0020077568797038565
3396.2999999999843,0.0019483295100935587
3396.399999999984,0.0018926339943116197
3396.499999999984,0.001840201729492904
3396.599999999984,0.001790643923386405
3396.699999999984,0.00174363739978482
3396.799999999984,0.0016989127867794015
3396.8999999999837,0.0016562447332156963
3396.9999999999836,0.0016154438409127108
3397.0999999999835,0.0015763500397582787
3397.1999999999834,0.0015388271692766075
3397.2999999999834,0.0015027585634459996
3397.3999999999833,0.0014680434653474032
3397.499999999983,0.0014345941246898506
3397.599999999983,0.001402333454517952
3397.699999999983,0.0013711931436527099
3397.799999999983,0.0013411121388834178
3397.899999999983,0.0013120354258708677
3397.9999999999827,0.0012839130504043211
3398.0999999999826,0.0012566993323377647
3398.1999999999825,0.0012303522334656456
3398.2999999999824,0.00120483284801957
3398.3999999999824,0.0011801049905911585
3398.4999999999823,0.0011561348613073968
3398.599999999982,0.001132890772176861
3398.699999999982,0.0011103429218405339
3398.799999999982,0.0010884632086318369
3398.899999999982,0.0010672250739905671
